household_suppliment
antibacterial spray
baking parchment
batteries
brush
cleaning cloth
cleaning gloves
cling film
dishwasher cleaner
dishwasher salt
dishwasher tablets
drain cleaner
dusting spray
dustpan
fabric conditioner
feather duster
floor cleaner
freezer bags
glass cleaner
gloves
greaseproof paper
hand sanitizer
kitchen roll
laundry bleach
lightbulbs
limescale remover
lint roller
liquid hand soap
long matches
microfibre cloth
mop
multipurpose cleaner
oven cleaner
polishing cloth
recycling bags
saran wrap
shower cleaner
silver polish
stain remover
tin foil
toilet bleach
toilet brush
toilet paper
trash bags
washing detergent
white wine vinegar
wood polish spray
